,Questions,Answers
10,Am I wrong because I don’t want to sit on the same couch my wife had sex with another man on while we were still married?,"Houston, It's normal for this kind of thing to be a trigger, so I get why you don't want to sit on it, but to keep refusing keeps the affair alive. Am I to assume that you can't afford a new one? Ideally, she buys you a new couch, but it certainly would be a gesture of love for you to do it too and it will help you both move forward. t will be interesting to see if there's anything else that keeps the problem alive after the couch is long gone."
11,Any suggestions for erection problems?,When a doc blows you off it may be a signal that it is time to find a new one! ED can often be caused by health issues. If all physical possibilities are ruled out then it's time to look within and enlist the help of a sex therapist. Here's a good article for you to start with.
12,Are some clients more difficult than others?,"Each counselor will have their own list of ""difficulties"" in doing therapy work with a client.  Even if clinically trained similarly, since counselors are human then their response to your question will reflect their unique differences as humans.On my list is when the emotional pain I feel for someone describing some type of injustice or unfair treatment by another, feels very deep.Sometimes I feel like avoiding the pain I feel by asking questions which will steer the conversation away from the painful areas the client talks about.What in fact is necessary to clear out their pain, is to step further into so as to realize their emotional pain isn't greater than who they are."
13,Can I change my feeling of being worthless to everyone?,"If everyone thinks you're worthless, then maybe you need to find new people to hang out with.Seriously, the social context in which a person lives is a big influence in self-esteem.Otherwise, you can go round and round trying to understand why you're not worthless, then go back to the same crowd and be knocked down again.There are many inspirational messages you can find in social media.  Maybe read some of the ones which state that no person is worthless, and that everyone has a good purpose to their life.Also, since our culture is so saturated with the belief that if someone doesn't feel good about themselves that this is somehow terrible.Bad feelings are part of living.  They are the motivation to remove ourselves from situations and relationships which do us more harm than good.Bad feelings do feel terrible.   Your feeling of worthlessness may be good in the sense of motivating you to find out that you are much better than your feelings today."
14,Can I control anxiety without medication?,"You didn't say what or how many medications you've tried. Certain anxiety medications can make you feel nauseous, but I haven't heard of any that cause mouth blisters, so there may be some other underlying medical issue there. I would definitely talk to your primary care physician and whoever has prescribed the medication as well as a neurologist if you've suffered a severe head injury. There are so many medications available for anxiety or insomnia or even depression that there may be others with lesser side effects.But beyond that, have you tried any other treatments such as deep breathing or meditation? Meditation can be very effective, but it takes practice and you don't have to sit cross-legged for hours chanting ""Ohm"" to meditate. It's about focusing on your breath, rather than all the thoughts that are racing through your head. And when they do take your mind off your breath, simply refocus (and refocus and refocus). Like I said, it takes practice, so don't give up. You can find many sites offering different ways to meditate, so look around and see what works best for you. Like medication, you just have to find the one that works best and that might take some experimentation.I hope this helps and best of luck to you."
15,Can I get over PTSD on my own?,"When it comes to trauma, especially in the event that it has caused you to develop PTSD, there can be a lot of difficulty in attempting to resolve these issues on your own simply because of how strong your urge to avoid it whenever thoughts of the traumatic experience come up. PTSD is best treated with the help of a mental health professional and if using the Cognitive Processing Approach can be treated in as few as 17 weeks. As for your other concerns, many of these can be treated independently if you have the motivation to manage your way through. Panic attacks and depression, specifically, often respond well to self-help treatment manuals. The Centre for Clinical Interventions is a great online resource for workbooks to help you learn to manage the depression and panic attacks. Whether you decide to work through these concerns on your own or in professional therapy, just know that your panic attacks must be managed prior to addressing your trauma. Hope this is helpful and if you have any other questions don't hesitate to ask."
16,Can I sign my brother into a mental health facility?,"I'm sorry to hear that your brother has been having such a rough time. He's lucky to have you on his side (although he may not always see it that way).As far as whether you can sign him in, that depends on a lot of different things.I would suggest that you Google the state and county that you live in as well as some phrase similar to ""crisis hotline."" They can tell you how it works in that county. My guess is that you could sign him in as long as he met the criteria for admission at that moment, but I can't  be entirely sure. You could also ask the person on the phone about financial responsibility. I have not heard of that being a problem, but I guess it would depend on insurance.If you have trouble finding a local  hotline, consider calling the national crisis number (800-273-8255) and ask them to help you find someone local."
17,Can a person be mean towards another person if that person was treated poorly before?,"Hi Morristown,There's a saying that goes ""hurt people hurt people"". It's possible that your aggression towards your friends is connected to your mother's behaviours. When we are treated poorly, especially as children, it affects how we ourselves, others, and the world. It's also powerful modelling of aggressive behaviour. The good news is that you have this lovely awareness and I think a desire to learn about yourself and grow in your ability to be respectful to people you care about. I recommend you consider sitting down with a therapist and exploring these ideas and moving forward on that path you seem to want to be on. Good luck!"
18,Can anxiety make me think I heard something about me?,"It sounds like you are having difficulty knowing if people are saying things to you, or if you only thought someone was talking to you, and this is anxiety producing. It's understandable that it could be confusing and/or a bit scary to be unsure if people are speaking to you or not. It's hard to say exactly what is going on from just this description, but if you can work with a competent therapist, you may be able to get more insight into what is happening, get clarity about your social interactions, and develop some ways to deal with the anxiety."
19,Can hypnosis allow me to recall trauma from 35 years ago?,"I'm not sure that I have the answer to your question, but I can tell you that it would be helpful to talk with a certified hypnotist. There are a list of them here: http://www.natboard.com/index_files/Page548.htm. You also may want to talk to someone who specializes in EMDR. This stands for Eye Movement Desensitization and Reprocessing and it is a specific trauma treatment. I am not trained in this particular method, but my understanding is that it does not require a lot of knowledge of the origin of the trauma before being started."
20,Can i learn to be happy alone?,"Is it possible that even though your illness is chronic, that it goes through phases in which you are more comfortable and that it requires less focus from you than at other times?I think the idea of having a lifelong illness is frustrating and can be depressing to think about.  Thoughts are not necessarily the truth of what will actually happen though.Illness makes negative situations look worse so be sure you are concentrating on specific areas of your life and not just assuming they will work out badly because you are ill.One way to be happy alone is to love and appreciate, nurture and be kind to yourself.This frame of mind may generate new answers to find ways of being among other people too."
21,Can implanted thoughts be reversed at all?,"Given your experience of being imposed upon against your will, and all the personal and professional loss that has come since, your fear of what will happen if you undergo treatment and trust a therapist is understandable. There is no technique or pill that can guarantee these thoughts will go away or be reversed, however, there are things that you can do which may help you to change your relationship to the thoughts and to the distress that they cause. I understand that working with a therapist sounds risky, given your experiences, and at the same time a good therapist may be a beneficial resource in helping you deal with the intrusive thoughts, cope with and alleviate the stress that they create, and perhaps even lead to the alleviation of the thoughts themselves. A therapist may also be able to help you discover strategies to work towards any goals you have around reconnecting with your children and working again. If therapy feels too unsafe at the moment, I would recommend looking into workbooks on how to deal with intrusive thoughts and coping with stress. Some popular approaches that you may want to look into are mindfulness techniques, Acceptance and Commitment Therapy, or Cognitive Behavioral Therapy. You may even be able to find some of these resources at a library, if affordability is an obstacle."
22,Can my marriage be saved?,"While it would be impossible for me to say whether your marriage can be saved it sounds like you are both willing to give it a try and to get professional support. With appropriate professional support for your relationship a lot is possible. I'm not familiar with the resources available in Jackson but I'm sure there are some good local couple therapists and there may be some agencies that specialize in couple counselling and family therapy. So often the challenges that we have in relationships result from rather small habits in relating that lead to greater feelings of distress, loneliness, anger and resentment. I commend your willingness to put effort into creating the strong loving relationship that you want for both of your sakes and of course for your children. The following links provides more information regarding common behaviours that predict staying together or separating and also videos and other resources that can help you get started. Wishing you and your family all the best on your journey of healing and discovery."
23,Can our marriage still be saved?,"Sorry to hear about the stress in your relationship.  There is definite value in being clear as you are, about your own emotional investment in your husband and that you expect sexual exclusivity from him as part of the foundation of your marriage.Also positive is your awareness that only your husband is the one who must similarly decide his own standards of being sexually exclusive to you, or not.Whether your marriage can be saved depends on what each person is willing to accept about the other one.Is sleeping with other women the only criterion of what will satisfy you about being together with your husband?Love and care are not enough to make a marriage work. Partners need to be able to compromise and cooperate with each other. That you care for him definitely intensifies any emotion you feel toward your husband.  It intensifies any frustration and sadness about the relationship too.Decide how much emotional sadness and hurt you're willing to tolerate and the reason you're willing to do so.From what you write, you are being very generous of yourself and not being reciprocated for this.If your husband doesn't start taking steps toward satisfying your wishes, this may be your time to question your own generosity in waiting for him to do so."
24,Can someone love you and say hurtful things?,"Pleasing someone certainly does feel satisfying.  If the other person does not appreciate your effort and good will then this feels dissatisfying.Offering happiness to someone does not include tolerating mean comments such as the ones you describe here.Tell the person that you are trying to please them and also tell the person that their comments are hurtful.If the person said their words with no bad intentions then next time they comment its reasonable to expect these comments to not hurt your feelings.Keep in mind that your good intentions may not be received in the way you intend them.  Some people, sometimes are insensitive or just plain not interested in being pleased by another person."
25,Could a car accident add more problems to my posttraumatic stress disorder?,"You are right on to recognize that the effects of trauma can be cumulative.  It is very possible that a car accident could lead to an increase in PTSD symptoms that were related to other traumatic experiences.If you have been deployed to a combat area, you are most likely eligible for free counseling services through the VA Vet Centers.  The Vet Center clinicians typically have a lot of experience working with military trauma. Here's a link to a directory of Vet Centers:http://www.va.gov/directory/guide/vetcenter.aspYour service and sacrifice is greatly appreciated."
26,Could a rape that happened years ago be the cause of my anxiety?,"While anxiety can come about for many reasons, trauma is definitely one of the factors that makes anxiety a possibility both immediately following a traumatic event and later in life. When we have experienced such scary violations of our bodies - we may experience residual effects of fear for many years to come. This is normal, natural and in many ways helpful - at least initially. This fear is in some way a sign that your body/mind is taking good care of you - trying to keep you on your toes in order to protect you from anything terrible happening to you again. However, as it sounds like you know, anxiety feels awful and there are certainly ways of learning to reduce anxiety. In order to get the tools you need to manage anxiety and also understand where it comes from and how it works in your life, I would encourage you to seek professional help and check out anxiety resources online."
27,Dealing with an unfaithful and judgmental significant other,"I don't think you’ve lost something, I think you’ve found something - your breaking point, and it's about time. Your boyfriend seems to be a very selfish and immature man who reconnects with you when it's convenient for him. Obviously, he has his own issues, but I want to address yours. I agree you need to talk to someone. The fact that you’ve put up with his repeated cheating and then letting him blame you for it (by saying you're not affectionate enough, etc.), tells me you probably have low self-esteem and have likely told yourself over the years that you don't deserve any better. You do! You may truly love this guy, but based on his behaviors, he does not love you, not in the way you deserve.  And although you may want to believe he can change, he has proved over and over again that he's not willing to, so you need to do what is best for you and your children. What would you tell your daughters if someone was treating them this way? Would you want your sons to treat women this way? That's what you're teaching your children when they see this.Like I said, I agree that you should talk to someone. You can ask your boyfriend to go too, but my guess is he won't. Even if he does, you should still see someone individually to work on YOU. I understand it's not easy to just kick him out, especially since you have children together, but a counselor can help you talk through all the details while helping you raise your self-esteem and self-worth."
28,Did I make a mistake breaking up with a guy who said his ex-girlfriend will always be on his mind?,"It sounds like you were in a tough spot here.I'm not able to tell you whether or not you made a mistake because the decision is yours. I am wondering what led you to ask whether you made a mistake and whether you wish you were still in the relationship with this guy. If so, is it an option to talk about this with him?If you decide to get back together, consider having some conversations about what your concerns are and taking about five minutes or so to listen to this guy's thoughts, feelings, etc. Then see if you can repeat the essence of what he said to make sure you have it right. Then maybe you can ask some questions that you have and see if he is willing to listen. When each of you is in the role of asking questions, try to ask them as if you are an investigative reporter trying to learn more about each other's experience.If you are looking for information on coping with breaking up and you don't want to get back together or that's not an option, consider looking at how you define yourself and what is most important to you at this moment. I hear you saying you've done a lot of things to make him happy. I'm wondering what is making you happy. Hopefully you have friends or family that you can trust and talk to. Even if you don't talk about your relationship with all of them, I hope you have some people around whom you can be emotionally safe and comfortable."
29,Do I have anxiety?,"Everyone has some level of anxiety - it's what helps us respond to stressors in our lives and clues us into the fact that we need to respond to something going on. However, if you're feeling overwhelmed by racing thoughts, feeling like you spend a lot of energy worrying about something specific or even pretty much anything at all, and you're starting to find that it's getting in your way when it comes to living your life the way you want, then I'd suggest seeing a counselor or therapist for an assessment for anxiety. Your other concerns, though, seem pretty ""normal"" for someone who is in a relationship with a partner who has children. As a married stepmother, I've been there, and as a therapist, I can tell you that the boundaries and communication skills you have in your relationships need to be healthy for you to feel healthy. Finding some support from a group of others whose partners have children might be really helpful - being able to hear from others that you aren't alone in feeling like this can really lighten the load, and they might have some good ideas for handling certain situations. Another option is to find a counselor or therapist who has experience working with step/blended family dynamics - because even if you're not officially married, those dynamics come into play whenever there are kids from another relationship involved. You may even consider couples counseling so that both of you can learn to talk about your relationship needs and concerns in a way that will encourage connection and strengthen your sense of partnership."
30,Do I have bipolar disorder?,"Hello, and thank you for your question. Bipolar disorder is generally characterized by extreme changes in mood, ranging from mania (highs) to depression (lows). There are different types; however, so here is a website that gives you a list of symptoms for mania and depression in bipolar disorder: http://www.webmd.com/depression/guide/bipolar-disorder-manic-depression?page=2After reviewing these symptoms, if you believe you may have bipolar disorder, then you may want to see your primary care provider or a counselor. Bipolar disorder is treatable, but for many people it requires the right medication and sometimes counseling to help people make behavior changes that are important for bipolar management. For example, some people may not get regular sleep, but proper rest is important for bipolar management. A counselor may talk to you about this and other lifestyle changes that you may need to make. The good news is that many people live happy, healthy, and productive lives with bipolar disorder. So, if it turns out that you do have bipolar disorder, it doesn't mean that things can't get better. There is currently no ""cure"" for bipolar disorder, but with proper medication and lifestyle management, people can do quite well.Hope this was helpful. Be well.Robin J. Landwehr, DBH, LPC, NCC"
31,Do I have social anxiety?,"It sounds like a couple of things are going on here; you are noticing yourself feeling judged by the people around you and that you are avoiding social activities and in addition to this you have intrusive thoughts that you are being judged, even when alone. It sounds like these thoughts are pretty distressing and you are wondering what is happening to you. Many people who come to therapy experience intrusive and distressing thoughts of various kinds, which often influence their behavior in ways that they may not like, such as leading them to isolate. In therapy, you may be able to gain insight into the nature of your distress as well as learn ways to cope and eventually alleviate this distress so that you can have satisfaction and security in your life and relationships."
32,Do I have some type of anxiety?,"It is possible that you could have or be developing an anxiety disorder. There isn't really enough information provided here to suggest a particular disorder, but it might be worth meeting with a counselor or therapist to do a formal assessment. Some of the questions they might ask could be what other kinds of physical symptoms you experience, how frequently these physical symptoms happen, what's going on for you when they tend to happen, and how frequently/intensely you find yourself worrying in general. Anxiety itself is a really natural thing - it's just when it starts interfering with your ability to ""do life"" the way you want that we start to consider potential disorders. It might be that for the most part, the anxiety you feel is normal and you simply have some triggers that intensify it more than usual. Working on your own or with the support of a counselor/therapist to both address those triggers at the root and also to develop ways of managing the actual anxiety symptoms. This two-fold approach can be really helpful for not letting anxiety keep you from engaging in life the way you'd like."
33,Do I have too many issues for counseling?,"Let me start by saying there are never too many concerns that you can bring into counselling. In fact, most people who come to see me for counselling have more than one issue they would like to work on in psychotherapy and most times these are all interconnected. In counselling, we work together, collaboratively, to figure out which issues you would like to address first and then together we develop an individualized plan of care. Basically, it’s like a road map of where you want to go, how are you going to get there, looking at stopovers, some scenic routes others possibly not so scenic, however, necessary. Of course, these plans can also change due to internal (what we have control over like our thoughts, feelings and behaviours) or external reasons (those things that are outside our control). I would encourage you to take the next step and reach out to a professional you can trust and build rapport with by co-journeying through whatever concerns you have by examining what has been working so far as you have learned to cope with some of your issues like insomnia, depression and anxiety, as well as being a breast cancer survivor. Then to help you by developing new coping strategies. Psychotherapy can be such a powerful tool to help you get to where it is you want to be. I know you can do it and you will see first-hand how psychotherapy will help you to move past these points in your life where you are feeling stuck. I like to quote Nike where their motto is, “just do it.” You can do it."
34,Do I leave my cheating husband or share him with someone?,"Hi Jayuya, I'm struggling in this moment with my own biases. I have biases that are about respect and every individual's need for and right to respect. Your husband lies, cheats and physically hurts you. He makes excuses and blames you for these behaviours and trains you to do the same. He demonstrates many controlling and abusive behaviours. And now, in an attempt to manipulate and silence you, he wants to have his cake and eat it too and suggests you should share him? There aren't many crumbs of this cake left for you, are there?So, my biases about respect don't make me want to rescue you or tell you what to do; I can't do that, and I don't think either of those things will help you. I'd like to ask you some questions though...Are you happy? Do you know what happy is? Do you know what respect is? Are your children safe? Are your children witnessing violence (because if they are, then they're not safe)? Do you have supports? Do your family and friends know what's happening in your life? Have you ever been to a women's shelter? Are you willing to sit down in an office with a professional who can help you think clearly? That's what I suggest. These are big decisions, you deserve some support. I wish you the best."
35,"Do I text, call, or make contact first, the same day of the morning I left his house?","It is possible your question reflects some insecurity about whether or not either or you would like this relationship to continue.Otherwise, the answer to your question would appear naturally.  If you genuinely feel close enough to this person to sleep with him, then who texts whom first, wouldn't really matter too much.Try to understand within yourself whether you feel truly interested in this person as much as you would like to feel toward someone."
36,Do feelings of depersonalization go away?,"Best answer that I can give to you is that some level of de-personalization is quite normal for everyone, it will come and go throughout life, kind of like being on a roller-coaster, ""here it is, then it's gone not to return for quite some time"", like many things, the more that you fixate on it, the more stress it will cause you, consider it part of life, accept it, and move on, now if your having many, many ,many of these episodes or have some auditory or visual hallucination or disturbances or emotional unbalancing that accompany it than that is definitely something to look at, but for the most part nothing to worry about. Hope this helps,C"
37,Do narcissists get healed by rationalizing?,"It is not correct because someone who is narcissistic believes they are always right.If you ignore the person, then their thinking is that there is something wrong with you.Ignoring the person to the degree this is possible in the situation or relationship, will spare you to be misunderstood further."
38,Does it mean that he isn't the one God planned for me if we had sex as Christians?,"Having sex with your boyfriend is and was a mistake. Mistakes can be forgiven and you can make amends.But it is not the end of your relationship or God's will for you.Have a serious talk with your guy and get back on track with where you want to be. Talk to a counselor or your priest/pastor. Get someone to be your guide and mentor. Check in with them regularly.Getting back to square one could actually strengthen your relationship.Have a plan for the future where you will not be put into a place of temptation. Group dates, public places and no alone time where temptations might arise.Forgive yourself and move on."
39,Does my daughter have a mental disability?,"Depending on your daughter’s age, this could be a learning disability.  I suggest contacting the school counselor and asking for an evaluation, once she is evaluated and depending on the diagnosis, she could be provided with treatment recommendations like occupational therapy, reading glasses, or assistance in class. These and more accommodations are enforced under the 504 act. Consider if the observations that you have done are affecting her performance in school only, or also in other settings.  Observe her behavior and or her emotions and see if they change as well.  Discuss these with your daughter’s counselor as well.¿Tiene mi hija un desorden mental?Mi hija está en la escuela elemental.  Ella no puede colorear dentro de la línea.  Mezcla las palabras cuando escribe, a menos que tenga grandes espacios, o brinca las líneas.Dependiendo de la edad de tu hija esto puede ser un problema de aprendizaje.  Te sugiero que contactes al consejero escolar y solicites una evaluación, dependiendo de la diagnosis, ellos pueden recomendar tratamientos como: terapia ocupacional, lentes para leer o asistencia en clase.   Estos acomodos son provistos bajo la acta 504.  Considera si las observaciones que has hecho afectan el desempeño de tu hija en la escuela, o en otras áreas, también observa su conducta y emociones y repórtaselo al consejero escolar."
40,Does my fiancée need a service dog?,"It sounds like you have been a positive support for your fiancee. There is no doubt that this situation is a great challenge for the both of you. While it may feel like you are responsible for her health and happiness, it is important that you understand that you, on your own, won't be able to resolve her mental health issues. Based on what you have explained, it sounds like she needs to get a medical and/or psychiatric evaluation. Whether or not she decides to take medication is her (and your) decision, but keeping an open mind about treatment options is important. I suggest that she see a therapist on her own in order to better understand and cope with her anxiety and depression, especially given her suicidal thoughts. You would also likely benefit from therapy, individual or couple's therapy, in order to address how you are feeling and best learn how to support her and your relationship. I wish the very best for both of you and hope that things will improve sooner than later."
41,Does my friend have depression?,"First of all, I can tell that you really care about your friend and I think it's great that you are reaching out with your concern. It's hard to determine whether your friend would meet the criteria for an official diagnosis of depression without working with him, however, whether he does or not, therapy may be beneficial for him in working through these difficult feelings and relational challenges. Unfortunately, you can't make your friend get help. He will ultimately need to make that decision for himself, however, you can talk to him about your concerns and your hopes that he will reach out for help."
42,Escalating disagreements between mother and wife,"What you are describing is something psychologists have termed ""triangulation"" which is what happens when one family member will not talk to the one they have a problem with and goes to a third member of the family to complain instead. You have been ""triangulated"" by your wife and mother.This is often seen in families. It's seen everywhere. How many times have you had a problem with someone but you didn't go to them to tell them, you went to someone else to complain? It is usually difficult for a person to confront another, especially in relationships where there is a power differential. For example, I bet it's easier to complain to a coworker about your boss rather than go to the boss with your complaint.I'm not saying triangulation is always a bad thing. Sometimes a third party mediator is needed to help solve problems between two people who disagree. That's what therapists do every day! Sometimes just getting someone else's perspective can help you see the issue clearer. However, in your situation it sounds like this is becoming a problem. You are stuck in the middle between two people that love you and that you love.If you want to put a stop to this triangulation, you will need to encourage the two of them to talk to each other and work out their differences. Perhaps it was a simple misunderstanding that some open communication can clear up. Even if they really don't like each other and can't get along, your relationship with the both of them is going to continue to deteriorate the longer you are stuck in the middle. Try to understand what might be the feelings behind their behavior. It is possible that they may both feel threatened by the other. These are the two most important women in your life and they both know it. Your mother may be afraid that she will lose you if she confronts your wife. I heard one mother-in-law describe her son's wife as the gateway to her son. The wife has the power to dictate when and how often the mother gets to see her son. The wife also is the gateway to the grandchildren. If your wife doesn't like her mother-in-law she can severely hamper or damage her mother-in-law's relationship with you and any children you two may have. From your wife's viewpoint, this is the woman that she may feel like she can never live up to. If you regularly praise your mom's cooking, her housework, gardening, or anything else your wife may feel that you are putting down her own efforts in these areas and can feel unappreciated. This can be especially difficult if your wife and mother are nothing alike. I am not saying that this is the case with your family's situation. These are just a few examples from other families in a similar situation as yours. Regardless of what the cause is, if this dysfunctional pattern is allowed to continue, your mom and your wife will begin to get upset with you when you don't agree with them. They will get upset if you don't align yourself with them against the other. They will be offended when it seems like you are choosing the other one's side or that you are not standing up for them like they think you should. In worst cases, if it continues to escalate you may even find yourself in the impossible position of having to choose between your wife and your mother which may mean cutting off contact with the other, ending that relationship. Change the dynamics before it spirals even further."
