,Questions,Answers
10,am i wrong because i don’t want to sit on the same couch my wife had sex with another man on while we were still married,houston it is normal for this kind of thing to be a trigger so i get why you do not want to sit on it but to keep refusing keeps the affair alive am i to assume that you cannot afford a new one ideally she buys you a new couch but it certainly would be a gesture of love for you to do it too and it will help you both move forward t will be interesting to see if there's anything else that keeps the problem alive after the couch is long gone
11,any suggestions for erection problems,when a doc blows you off it may be a signal that it is time to find a new one ed can often be caused by health issues if all physical possibilities are ruled out then it is time to look within and enlist the help of a sex therapist here's a good article for you to start with
12,are some clients more difficult than others,each counselor will have their own list of difficulties in doing therapy work with a client  even if clinically trained similarly since counselors are human then their response to your question will reflect their unique differences as humanson my list is when the emotional pain i feel for someone describing some type of injustice or unfair treatment by another feels very deepsometimes i feel like avoiding the pain i feel by asking questions which will steer the conversation away from the painful areas the client talks aboutwhat in fact is necessary to clear out their pain is to step further into so as to realize their emotional pain is not greater than who they are
13,can i change my feeling of being worthless to everyone,if everyone thinks you are worthless then maybe you need to find new people to hang out withseriously the social context in which a person lives is a big influence in selfesteemotherwise you can go round and round trying to understand why you are not worthless then go back to the same crowd and be knocked down againthere are many inspirational messages you can find in social media  maybe read some of the ones which state that no person is worthless and that everyone has a good purpose to their lifealso since our culture is so saturated with the belief that if someone does not feel good about themselves that this is somehow terriblebad feelings are part of living  they are the motivation to remove ourselves from situations and relationships which do us more harm than goodbad feelings do feel terrible   your feeling of worthlessness may be good in the sense of motivating you to find out that you are much better than your feelings today
14,can i control anxiety without medication,you did not say what or how many medications you have tried certain anxiety medications can make you feel nauseous but i have not heard of any that cause mouth blisters so there may be some other underlying medical issue there i would definitely talk to your primary care physician and whoever has prescribed the medication as well as a neurologist if you have suffered a severe head injury there are so many medications available for anxiety or insomnia or even depression that there may be others with lesser side effectsbut beyond that have you tried any other treatments such as deep breathing or meditation meditation can be very effective but it takes practice and you do not have to sit crosslegged for hours chanting ohm to meditate it is about focusing on your breath rather than all the thoughts that are racing through your head and when they do take your mind off your breath simply refocus  like i said it takes practice so do not give up you can find many sites offering different ways to meditate so look around and see what works best for you like medication you just have to find the one that works best and that might take some experimentationi hope this helps and best of luck to you
15,can i get over ptsd on my own,when it comes to trauma especially in the event that it has caused you to develop ptsd there can be a lot of difficulty in attempting to resolve these issues on your own simply because of how strong your urge to avoid it whenever thoughts of the traumatic experience come up ptsd is best treated with the help of a mental health professional and if using the cognitive processing approach can be treated in as few as 17 weeks as for your other concerns many of these can be treated independently if you have the motivation to manage your way through panic attacks and depression specifically often respond well to selfhelp treatment manuals the centre for clinical interventions is a great online resource for workbooks to help you learn to manage the depression and panic attacks whether you decide to work through these concerns on your own or in professional therapy just know that your panic attacks must be managed prior to addressing your trauma hope this is helpful and if you have any other questions do not hesitate to ask
16,can i sign my brother into a mental health facility,i am sorry to hear that your brother has been having such a rough time he is lucky to have you on his side as far as whether you can sign him in that depends on a lot of different thingsi would suggest that you google the state and county that you live in as well as some phrase similar to crisis hotline they can tell you how it works in that county my guess is that you could sign him in as long as he met the criteria for admission at that moment but i cannot  be entirely sure you could also ask the person on the phone about financial responsibility i have not heard of that being a problem but i guess it would depend on insuranceif you have trouble finding a local  hotline consider calling the national crisis number and ask them to help you find someone local
17,can a person be mean towards another person if that person was treated poorly before,hi morristownthere's a saying that goes hurt people hurt people it is possible that your aggression towards your friends is connected to your mother's behaviours when we are treated poorly especially as children it affects how we ourselves others and the world it is also powerful modelling of aggressive behaviour the good news is that you have this lovely awareness and i think a desire to learn about yourself and grow in your ability to be respectful to people you care about i recommend you consider sitting down with a therapist and exploring these ideas and moving forward on that path you seem to want to be on good luck
18,can anxiety make me think i heard something about me,it sounds like you are having difficulty knowing if people are saying things to you or if you only thought someone was talking to you and this is anxiety producing it is understandable that it could be confusing andor a bit scary to be unsure if people are speaking to you or not it is hard to say exactly what is going on from just this description but if you can work with a competent therapist you may be able to get more insight into what is happening get clarity about your social interactions and develop some ways to deal with the anxiety
19,can hypnosis allow me to recall trauma from 35 years ago,i am not sure that i have the answer to your question but i can tell you that it would be helpful to talk with a certified hypnotist there are a list of them here httpwwwnatboardcomindex_filespage548htm you also may want to talk to someone who specializes in emdr this stands for eye movement desensitization and reprocessing and it is a specific trauma treatment i am not trained in this particular method but my understanding is that it does not require a lot of knowledge of the origin of the trauma before being started
20,can i learn to be happy alone,is it possible that even though your illness is chronic that it goes through phases in which you are more comfortable and that it requires less focus from you than at other timesi think the idea of having a lifelong illness is frustrating and can be depressing to think about  thoughts are not necessarily the truth of what will actually happen thoughillness makes negative situations look worse so be sure you are concentrating on specific areas of your life and not just assuming they will work out badly because you are illone way to be happy alone is to love and appreciate nurture and be kind to yourselfthis frame of mind may generate new answers to find ways of being among other people too
21,can implanted thoughts be reversed at all,given your experience of being imposed upon against your will and all the personal and professional loss that has come since your fear of what will happen if you undergo treatment and trust a therapist is understandable there is no technique or pill that can guarantee these thoughts will go away or be reversed however there are things that you can do which may help you to change your relationship to the thoughts and to the distress that they cause i understand that working with a therapist sounds risky given your experiences and at the same time a good therapist may be a beneficial resource in helping you deal with the intrusive thoughts cope with and alleviate the stress that they create and perhaps even lead to the alleviation of the thoughts themselves a therapist may also be able to help you discover strategies to work towards any goals you have around reconnecting with your children and working again if therapy feels too unsafe at the moment i would recommend looking into workbooks on how to deal with intrusive thoughts and coping with stress some popular approaches that you may want to look into are mindfulness techniques acceptance and commitment therapy or cognitive behavioral therapy you may even be able to find some of these resources at a library if affordability is an obstacle
22,can my marriage be saved,while it would be impossible for me to say whether your marriage can be saved it sounds like you are both willing to give it a try and to get professional support with appropriate professional support for your relationship a lot is possible i am not familiar with the resources available in jackson but i am sure there are some good local couple therapists and there may be some agencies that specialize in couple counselling and family therapy so often the challenges that we have in relationships result from rather small habits in relating that lead to greater feelings of distress loneliness anger and resentment i commend your willingness to put effort into creating the strong loving relationship that you want for both of your sakes and of course for your children the following links provides more information regarding common behaviours that predict staying together or separating and also videos and other resources that can help you get started wishing you and your family all the best on your journey of healing and discovery
23,can our marriage still be saved,sorry to hear about the stress in your relationship  there is definite value in being clear as you are about your own emotional investment in your husband and that you expect sexual exclusivity from him as part of the foundation of your marriagealso positive is your awareness that only your husband is the one who must similarly decide his own standards of being sexually exclusive to you or notwhether your marriage can be saved depends on what each person is willing to accept about the other oneis sleeping with other women the only criterion of what will satisfy you about being together with your husbandlove and care are not enough to make a marriage work partners need to be able to compromise and cooperate with each other that you care for him definitely intensifies any emotion you feel toward your husband  it intensifies any frustration and sadness about the relationship toodecide how much emotional sadness and hurt you are willing to tolerate and the reason you are willing to do sofrom what you write you are being very generous of yourself and not being reciprocated for thisif your husband does not start taking steps toward satisfying your wishes this may be your time to question your own generosity in waiting for him to do so
24,can someone love you and say hurtful things,pleasing someone certainly does feel satisfying  if the other person does not appreciate your effort and good will then this feels dissatisfyingoffering happiness to someone does not include tolerating mean comments such as the ones you describe heretell the person that you are trying to please them and also tell the person that their comments are hurtfulif the person said their words with no bad intentions then next time they comment its reasonable to expect these comments to not hurt your feelingskeep in mind that your good intentions may not be received in the way you intend them  some people sometimes are insensitive or just plain not interested in being pleased by another person
25,could a car accident add more problems to my posttraumatic stress disorder,you are right on to recognize that the effects of trauma can be cumulative  it is very possible that a car accident could lead to an increase in ptsd symptoms that were related to other traumatic experiencesif you have been deployed to a combat area you are most likely eligible for free counseling services through the va vet centers  the vet center clinicians typically have a lot of experience working with military trauma here's a link to a directory of vet centershttpwwwvagovdirectoryguidevetcenteraspyour service and sacrifice is greatly appreciated
26,could a rape that happened years ago be the cause of my anxiety,while anxiety can come about for many reasons trauma is definitely one of the factors that makes anxiety a possibility both immediately following a traumatic event and later in life when we have experienced such scary violations of our bodies  we may experience residual effects of fear for many years to come this is normal natural and in many ways helpful  at least initially this fear is in some way a sign that your bodymind is taking good care of you  trying to keep you on your toes in order to protect you from anything terrible happening to you again however as it sounds like you know anxiety feels awful and there are certainly ways of learning to reduce anxiety in order to get the tools you need to manage anxiety and also understand where it comes from and how it works in your life i would encourage you to seek professional help and check out anxiety resources online
27,dealing with an unfaithful and judgmental significant other,i do not think you’ve lost something i think you’ve found something  your breaking point and it is about time your boyfriend seems to be a very selfish and immature man who reconnects with you when it is convenient for him obviously he has his own issues but i want to address yours i agree you need to talk to someone the fact that you’ve put up with his repeated cheating and then letting him blame you for it  tells me you probably have low selfesteem and have likely told yourself over the years that you do not deserve any better you do you may truly love this guy but based on his behaviors he does not love you not in the way you deserve  and although you may want to believe he can change he has proved over and over again that he is not willing to so you need to do what is best for you and your children what would you tell your daughters if someone was treating them this way would you want your sons to treat women this way that is what you are teaching your children when they see thislike i said i agree that you should talk to someone you can ask your boyfriend to go too but my guess is he will not even if he does you should still see someone individually to work on you i understand it is not easy to just kick him out especially since you have children together but a counselor can help you talk through all the details while helping you raise your selfesteem and selfworth
28,did i make a mistake breaking up with a guy who said his exgirlfriend will always be on his mind,it sounds like you were in a tough spot herei am not able to tell you whether or not you made a mistake because the decision is yours i am wondering what led you to ask whether you made a mistake and whether you wish you were still in the relationship with this guy if so is it an option to talk about this with himif you decide to get back together consider having some conversations about what your concerns are and taking about five minutes or so to listen to this guy's thoughts feelings etc then see if you can repeat the essence of what he said to make sure you have it right then maybe you can ask some questions that you have and see if he is willing to listen when each of you is in the role of asking questions try to ask them as if you are an investigative reporter trying to learn more about each other's experienceif you are looking for information on coping with breaking up and you do not want to get back together or that is not an option consider looking at how you define yourself and what is most important to you at this moment i hear you saying you have done a lot of things to make him happy i am wondering what is making you happy hopefully you have friends or family that you can trust and talk to even if you do not talk about your relationship with all of them i hope you have some people around whom you can be emotionally safe and comfortable
29,do i have anxiety,everyone has some level of anxiety  it is what helps us respond to stressors in our lives and clues us into the fact that we need to respond to something going on however if you are feeling overwhelmed by racing thoughts feeling like you spend a lot of energy worrying about something specific or even pretty much anything at all and you are starting to find that it is getting in your way when it comes to living your life the way you want then i would suggest seeing a counselor or therapist for an assessment for anxiety your other concerns though seem pretty normal for someone who is in a relationship with a partner who has children as a married stepmother i have been there and as a therapist i can tell you that the boundaries and communication skills you have in your relationships need to be healthy for you to feel healthy finding some support from a group of others whose partners have children might be really helpful  being able to hear from others that you are not alone in feeling like this can really lighten the load and they might have some good ideas for handling certain situations another option is to find a counselor or therapist who has experience working with stepblended family dynamics  because even if you are not officially married those dynamics come into play whenever there are kids from another relationship involved you may even consider couples counseling so that both of you can learn to talk about your relationship needs and concerns in a way that will encourage connection and strengthen your sense of partnership
30,do i have bipolar disorder,hello and thank you for your question bipolar disorder is generally characterized by extreme changes in mood ranging from mania to depression  there are different types however so here is a website that gives you a list of symptoms for mania and depression in bipolar disorder httpwwwwebmdcomdepressionguidebipolardisordermanicdepressionpage2after reviewing these symptoms if you believe you may have bipolar disorder then you may want to see your primary care provider or a counselor bipolar disorder is treatable but for many people it requires the right medication and sometimes counseling to help people make behavior changes that are important for bipolar management for example some people may not get regular sleep but proper rest is important for bipolar management a counselor may talk to you about this and other lifestyle changes that you may need to make the good news is that many people live happy healthy and productive lives with bipolar disorder so if it turns out that you do have bipolar disorder it does not mean that things cannot get better there is currently no cure for bipolar disorder but with proper medication and lifestyle management people can do quite wellhope this was helpful be wellrobin j landwehr dbh lpc ncc
31,do i have social anxiety,it sounds like a couple of things are going on here you are noticing yourself feeling judged by the people around you and that you are avoiding social activities and in addition to this you have intrusive thoughts that you are being judged even when alone it sounds like these thoughts are pretty distressing and you are wondering what is happening to you many people who come to therapy experience intrusive and distressing thoughts of various kinds which often influence their behavior in ways that they may not like such as leading them to isolate in therapy you may be able to gain insight into the nature of your distress as well as learn ways to cope and eventually alleviate this distress so that you can have satisfaction and security in your life and relationships
32,do i have some type of anxiety,it is possible that you could have or be developing an anxiety disorder there is not really enough information provided here to suggest a particular disorder but it might be worth meeting with a counselor or therapist to do a formal assessment some of the questions they might ask could be what other kinds of physical symptoms you experience how frequently these physical symptoms happen what's going on for you when they tend to happen and how frequentlyintensely you find yourself worrying in general anxiety itself is a really natural thing  it is just when it starts interfering with your ability to do life the way you want that we start to consider potential disorders it might be that for the most part the anxiety you feel is normal and you simply have some triggers that intensify it more than usual working on your own or with the support of a counselortherapist to both address those triggers at the root and also to develop ways of managing the actual anxiety symptoms this twofold approach can be really helpful for not letting anxiety keep you from engaging in life the way you would like
33,do i have too many issues for counseling,let me start by saying there are never too many concerns that you can bring into counselling in fact most people who come to see me for counselling have more than one issue they would like to work on in psychotherapy and most times these are all interconnected in counselling we work together collaboratively to figure out which issues you would like to address first and then together we develop an individualized plan of care basically it’s like a road map of where you want to go how are you going to get there looking at stopovers some scenic routes others possibly not so scenic however necessary of course these plans can also change due to internal or external reasons  i would encourage you to take the next step and reach out to a professional you can trust and build rapport with by cojourneying through whatever concerns you have by examining what has been working so far as you have learned to cope with some of your issues like insomnia depression and anxiety as well as being a breast cancer survivor then to help you by developing new coping strategies psychotherapy can be such a powerful tool to help you get to where it is you want to be i know you can do it and you will see firsthand how psychotherapy will help you to move past these points in your life where you are feeling stuck i like to quote nike where their motto is “just do it” you can do it
34,do i leave my cheating husband or share him with someone,hi jayuya i am struggling in this moment with my own biases i have biases that are about respect and every individual's need for and right to respect your husband lies cheats and physically hurts you he makes excuses and blames you for these behaviours and trains you to do the same he demonstrates many controlling and abusive behaviours and now in an attempt to manipulate and silence you he wants to have his cake and eat it too and suggests you should share him there are not many crumbs of this cake left for you are thereso my biases about respect do not make me want to rescue you or tell you what to do i cannot do that and i do not think either of those things will help you i would like to ask you some questions thoughare you happy do you know what happy is do you know what respect is are your children safe are your children witnessing violence  do you have supports do your family and friends know what's happening in your life have you ever been to a womengs shelter are you willing to sit down in an office with a professional who can help you think clearly that is what i suggest these are big decisions you deserve some support i wish you the best
35,do i text call or make contact first the same day of the morning i left his house,it is possible your question reflects some insecurity about whether or not either or you would like this relationship to continueotherwise the answer to your question would appear naturally  if you genuinely feel close enough to this person to sleep with him then who texts whom first would not really matter too muchtry to understand within yourself whether you feel truly interested in this person as much as you would like to feel toward someone
36,do feelings of depersonalization go away,best answer that i can give to you is that some level of depersonalization is quite normal for everyone it will come and go throughout life kind of like being on a rollercoaster here it is then it is gone not to return for quite some time like many things the more that you fixate on it the more stress it will cause you consider it part of life accept it and move on now if your having many many many of these episodes or have some auditory or visual hallucination or disturbances or emotional unbalancing that accompany it than that is definitely something to look at but for the most part nothing to worry about hope this helpsc
37,do narcissists get healed by rationalizing,it is not correct because someone who is narcissistic believes they are always rightif you ignore the person then their thinking is that there is something wrong with youignoring the person to the degree this is possible in the situation or relationship will spare you to be misunderstood further
38,does it mean that he is not the one god planned for me if we had sex as christians,having sex with your boyfriend is and was a mistake mistakes can be forgiven and you can make amendsbut it is not the end of your relationship or god's will for youhave a serious talk with your guy and get back on track with where you want to be talk to a counselor or your priestpastor get someone to be your guide and mentor check in with them regularlygetting back to square one could actually strengthen your relationshiphave a plan for the future where you will not be put into a place of temptation group dates public places and no alone time where temptations might ariseforgive yourself and move on
39,does my daughter have a mental disability,depending on your daughter’s age this could be a learning disability  i suggest contacting the school counselor and asking for an evaluation once she is evaluated and depending on the diagnosis she could be provided with treatment recommendations like occupational therapy reading glasses or assistance in class these and more accommodations are enforced under the 504 act consider if the observations that you have done are affecting her performance in school only or also in other settings  observe her behavior and or her emotions and see if they change as well  discuss these with your daughter’s counselor as well¿tiene mi hija un desorden mentalmi hija está en la escuela elemental  ella no puede colorear dentro de la línea  mezcla las palabras cuando escribe a menos que tenga grandes espacios o brinca las líneasdependiendo de la edad de tu hija esto puede ser un problema de aprendizaje  te sugiero que contactes al consejero escolar y solicites una evaluación dependiendo de la diagnosis ellos pueden recomendar tratamientos como terapia ocupacional lentes para leer o asistencia en clase   estos acomodos son provistos bajo la acta 504  considera si las observaciones que has hecho afectan el desempeño de tu hija en la escuela o en otras áreas también observa su conducta y emociones y repórtaselo al consejero escolar
40,does my fiancée need a service dog,it sounds like you have been a positive support for your fiancee there is no doubt that this situation is a great challenge for the both of you while it may feel like you are responsible for her health and happiness it is important that you understand that you on your own will not be able to resolve her mental health issues based on what you have explained it sounds like she needs to get a medical andor psychiatric evaluation whether or not she decides to take medication is her decision but keeping an open mind about treatment options is important i suggest that she see a therapist on her own in order to better understand and cope with her anxiety and depression especially given her suicidal thoughts you would also likely benefit from therapy individual or couple's therapy in order to address how you are feeling and best learn how to support her and your relationship i wish the very best for both of you and hope that things will improve sooner than later
41,does my friend have depression,first of all i can tell that you really care about your friend and i think it is great that you are reaching out with your concern it is hard to determine whether your friend would meet the criteria for an official diagnosis of depression without working with him however whether he does or not therapy may be beneficial for him in working through these difficult feelings and relational challenges unfortunately you cannot make your friend get help he will ultimately need to make that decision for himself however you can talk to him about your concerns and your hopes that he will reach out for help
42,escalating disagreements between mother and wife,what you are describing is something psychologists have termed triangulation which is what happens when one family member will not talk to the one they have a problem with and goes to a third member of the family to complain instead you have been triangulated by your wife and motherthis is often seen in families it is seen everywhere how many times have you had a problem with someone but you did not go to them to tell them you went to someone else to complain it is usually difficult for a person to confront another especially in relationships where there is a power differential for example i bet it is easier to complain to a coworker about your boss rather than go to the boss with your complainti am not saying triangulation is always a bad thing sometimes a third party mediator is needed to help solve problems between two people who disagree that is what therapists do every day sometimes just getting someone else's perspective can help you see the issue clearer however in your situation it sounds like this is becoming a problem you are stuck in the middle between two people that love you and that you loveif you want to put a stop to this triangulation you will need to encourage the two of them to talk to each other and work out their differences perhaps it was a simple misunderstanding that some open communication can clear up even if they really do not like each other and cannot get along your relationship with the both of them is going to continue to deteriorate the longer you are stuck in the middle try to understand what might be the feelings behind their behavior it is possible that they may both feel threatened by the other these are the two most important women in your life and they both know it your mother may be afraid that she will lose you if she confronts your wife i heard one motherinlaw describe her songs wife as the gateway to her son the wife has the power to dictate when and how often the mother gets to see her son the wife also is the gateway to the grandchildren if your wife does not like her motherinlaw she can severely hamper or damage her motherinlaw's relationship with you and any children you two may have from your wife's viewpoint this is the woman that she may feel like she can never live up to if you regularly praise your mom's cooking her housework gardening or anything else your wife may feel that you are putting down her own efforts in these areas and can feel unappreciated this can be especially difficult if your wife and mother are nothing alike i am not saying that this is the case with your family's situation these are just a few examples from other families in a similar situation as yours regardless of what the cause is if this dysfunctional pattern is allowed to continue your mom and your wife will begin to get upset with you when you do not agree with them they will get upset if you do not align yourself with them against the other they will be offended when it seems like you are choosing the other one's side or that you are not standing up for them like they think you should in worst cases if it continues to escalate you may even find yourself in the impossible position of having to choose between your wife and your mother which may mean cutting off contact with the other ending that relationship change the dynamics before it spirals even further
43,how am i supposed to feel when i forgive someone,how someone feels when they forgive another is at peace with themselves and their understanding of what went wrong who was responsible for what in the situation and clarity on their own motivation actions emotions including pain regret resentment sadnessthese steps ideally allow a new door to open in order to develop new paths in the existing relationship or accept that this will not be possible due to either persongs way of handling themselvesthe long answer would be that you are not yet through with this processi commend you on being truthful with yourself about yourselfyou are on the right track by expecting to feel resolved when you have reached resolution and not beforefinding patience with the unpredictable amount of time needed to thoroughly examine all the details of the incidents you mention sometimes is a frustration of its ownkeep up your good work of knowing your own lifeit is a worthwhile endeavor
